post_town,part_1_construction_age_band,average_current_energy_efficiency_rating,average_potential_energy_efficiency_rating,average_current_environmental_impact_rating,average_potential_environmental_impact_rating,average_current_emissions_(t.co2/yr),average_potential_reduction_in_emissions_(t.co2/yr),average_potential_savings_in_heating_costs_over_3_years,average_potential_savings_in_hot_water_costs_over_3_years,rank_average_current_emissions_(t.co2/yr),rank_average_current_energy_efficiency_rating,rank_average_potential_energy_efficiency_rating,rank_average_current_environmental_impact_rating,rank_average_potential_environmental_impact_rating,rank_average_potential_reduction_in_emissions_(t.co2/yr),rank_average_potential_savings_in_heating_costs_over_3_years,rank_average_potential_savings_in_hot_water_costs_over_3_years
campbeltown,1976-1983,58.066265060240966,81.70180722891567,54.36842105263158,74.9789156626506,6.541265060240963,3.1075301204819277,1305.0993975903614,259.7259036144578,368.0,337.0,339.0,1578.0,383.0,158.0,134.0,147.0
port glasgow,1965-1975,62.16135458167331,78.04382470119522,57.949748743718594,72.09163346613546,4.147609561752988,1.1219123505976096,822.8067729083665,254.52788844621514,211.0,289.0,411.0,1399.0,404.0,381.0,245.0,156.0
bishopton,1950-1964,82.69675925925925,88.98148148148148,56.9,89.61574074074075,2.0460648148148146,0.757175925925926,139.00694444444446,103.57638888888889,64.0,61.0,110.0,1457.0,78.0,414.0,466.0,386.0
leven,1965-1975,67.35247524752475,81.5990099009901,64.67415730337079,80.34950495049505,3.978316831683168,1.7571287128712871,532.1465346534653,104.26039603960396,199.0,220.0,346.0,963.0,261.0,293.0,328.0,383.0
galashiels,1930-1949,67.57430340557275,80.1842105263158,52.39393939393939,78.6439628482972,3.954489164086687,1.545201238390093,664.0820433436533,101.45201238390094,196.0,215.0,385.0,1655.0,319.0,318.0,286.0,392.0
johnstone,1930-1949,68.49591598599767,81.11435239206534,63.34615384615385,79.67561260210034,3.5263710618436406,1.453558926487748,478.8238039673279,98.80046674445741,157.0,195.0,363.0,1064.0,288.0,329.0,344.0,400.0
bonnyrigg,1950-1964,72.07837837837837,83.7945945945946,63.026666666666664,83.1,3.0475675675675675,1.2651351351351352,275.35945945945946,106.85675675675675,115.0,124.0,243.0,1089.0,158.0,361.0,433.0,370.0
alloa,1919-1929,70.35393258426966,82.70449438202247,55.30769230769231,81.41573033707866,3.2870786516853934,1.3482022471910113,369.6674157303371,93.97078651685393,133.0,165.0,295.0,1544.0,215.0,344.0,400.0,416.0
laurencekirk,2003-2007,69.117903930131,87.12663755458516,72.27272727272727,83.27510917030568,5.272052401746724,2.520960698689956,689.4628820960698,173.72489082969432,302.0,186.0,135.0,540.0,149.0,207.0,277.0,248.0
beith,1950-1964,60.93478260869565,80.72463768115942,60.63157894736842,78.02173913043478,5.363043478260869,2.497826086956522,902.5434782608696,181.2608695652174,309.0,302.0,374.0,1251.0,332.0,208.0,229.0,241.0
leven,2003-2007,67.35247524752475,81.5990099009901,73.21212121212122,80.34950495049505,3.978316831683168,1.7571287128712871,532.1465346534653,104.26039603960396,199.0,220.0,346.0,499.0,261.0,293.0,328.0,383.0
bridge of weir,1965-1975,65.23577235772358,80.6178861788618,58.15,78.45528455284553,5.071544715447154,2.1325203252032523,778.0,90.7560975609756,285.0,249.0,377.0,1391.0,325.0,245.0,254.0,423.0
bathgate,before 1919,71.5315195753152,82.96615792966158,52.48717948717949,82.36562707365627,3.550895819508958,1.3554744525547446,346.8493696084937,106.5686794956868,160.0,134.0,283.0,1653.0,181.0,342.0,412.0,372.0
stirling,2008 onwards,71.9756671899529,82.90188383045526,82.83333333333333,81.20447409733124,3.510989010989011,1.3322605965463108,456.0129513343799,104.00039246467819,155.0,127.0,287.0,228.0,226.0,350.0,354.0,385.0
dunblane,1992-1998,74.78899082568807,84.81345565749236,67.76470588235294,82.92966360856269,3.636085626911315,1.334250764525994,434.6697247706422,107.4954128440367,170.0,98.0,205.0,760.0,165.0,347.0,359.0,367.0
falkirk,2003-2007,70.1579388353582,81.54126518642647,75.50485436893204,80.23711772098869,3.4359865940511103,1.269459572685379,412.060745705907,109.92794302471722,148.0,168.0,351.0,427.0,270.0,359.0,365.0,355.0
hawick,1965-1975,63.26720647773279,79.54048582995951,61.87012987012987,77.13562753036437,5.115384615384615,2.2977732793522265,938.7267206477733,106.47570850202429,291.0,273.0,396.0,1162.0,358.0,225.0,219.0,373.0
elgin,1930-1949,67.63874726875456,83.8543335761107,58.280701754385966,81.84268026219956,3.931245447924254,1.897159504734159,598.3350327749454,135.42825928623452,194.0,214.0,240.0,1382.0,196.0,275.0,304.0,312.0
broxburn,1950-1964,71.71955128205128,83.20192307692308,64.75490196078431,82.10897435897436,3.1993589743589745,1.3112179487179487,358.77403846153845,107.4423076923077,126.0,132.0,270.0,956.0,187.0,354.0,404.0,368.0
westhill,1976-1983,69.1590909090909,85.23106060606061,68.35714285714286,82.74242424242425,4.830681818181818,2.150378787878788,535.6022727272727,164.20454545454547,269.0,184.0,191.0,726.0,172.0,241.0,326.0,260.0
macduff,1965-1975,65.32867132867133,83.37062937062937,64.46666666666667,81.57342657342657,4.558741258741259,2.279020979020979,743.034965034965,113.95804195804196,247.0,247.0,258.0,979.0,208.0,226.0,267.0,349.0
kirkcaldy,1965-1975,69.32845070422535,81.34591549295774,61.624161073825505,80.37802816901409,3.562140845070423,1.420394366197183,476.81239436619717,95.20225352112676,162.0,181.0,355.0,1184.0,259.0,335.0,346.0,414.0
hawick,1950-1964,63.26720647773279,79.54048582995951,61.52439024390244,77.13562753036437,5.115384615384615,2.2977732793522265,938.7267206477733,106.47570850202429,291.0,273.0,396.0,1190.0,358.0,225.0,219.0,373.0
stornoway,1965-1975,61.83766233766234,79.85064935064935,40.36363636363637,77.44805194805195,4.65974025974026,2.103896103896104,883.7142857142857,182.47402597402598,252.0,293.0,391.0,1927.0,351.0,248.0,233.0,238.0
glenrothes,before 1919,67.8075117370892,83.28732394366197,50.43055555555556,81.22629107981221,4.020657276995305,1.7660093896713616,517.4084507042254,135.49859154929578,202.0,209.0,266.0,1716.0,224.0,291.0,335.0,311.0
fort william,1976-1983,61.265116279069765,82.92093023255813,51.43636363636364,75.3093023255814,5.015581395348836,2.2509302325581393,774.6976744186046,259.5348837209302,283.0,299.0,286.0,1686.0,378.0,230.0,258.0,149.0
inverurie,before 1919,69.42778793418647,85.47531992687385,49.55714285714286,83.10146252285192,4.679707495429616,2.0995429616087753,592.3491773308958,155.36928702010968,253.0,180.0,182.0,1738.0,157.0,250.0,307.0,275.0
stirling,before 1919,71.9756671899529,82.90188383045526,57.38809523809524,81.20447409733124,3.510989010989011,1.3322605965463108,456.0129513343799,104.00039246467819,155.0,127.0,287.0,1430.0,226.0,350.0,354.0,385.0
dumfries,2003-2007,64.81737588652483,82.66489361702128,73.0576923076923,79.54432624113475,4.245035460992908,2.044739952718676,633.0230496453901,152.7872340425532,224.0,254.0,299.0,505.0,294.0,257.0,294.0,279.0
helensburgh,1930-1949,64.41826923076923,79.6826923076923,66.64646464646465,77.81610576923077,4.999278846153846,2.017908653846154,788.4591346153846,146.9278846153846,280.0,260.0,395.0,823.0,340.0,262.0,250.0,287.0
peterhead,1950-1964,70.02649507948524,85.47615442846329,60.348314606741575,83.09235427706282,4.226343679031037,2.0314912944738834,628.9280847842543,139.05147615442846,222.0,169.0,181.0,1266.0,161.0,260.0,295.0,303.0
airdrie,1965-1975,69.6901822457378,81.09406231628454,67.81940700808626,80.09876543209876,3.5296296296296292,1.261081716637272,377.78483245149914,91.50617283950618,158.0,176.0,364.0,756.0,274.0,362.0,397.0,422.0
kirriemuir,1999-2002,62.688235294117646,86.00588235294117,71.0,82.28823529411764,6.057058823529412,3.357647058823529,1108.8529411764705,188.36470588235295,349.0,285.0,164.0,593.0,183.0,140.0,166.0,230.0
saltcoats,before 1919,73.66067864271457,84.01397205588822,53.87671232876713,82.24550898203593,2.6467065868263475,0.9241516966067864,397.2874251497006,203.34131736526948,88.0,108.0,230.0,1591.0,184.0,405.0,377.0,211.0
pitlochry,2008 onwards,59.908424908424905,88.84981684981685,71.7,83.16483516483517,7.426739926739927,4.017948717948718,1659.989010989011,259.56043956043953,402.0,317.0,113.0,561.0,154.0,100.0,97.0,148.0
cowdenbeath,1976-1983,71.09189189189189,82.76216216216216,61.333333333333336,81.95135135135135,3.5745945945945943,1.432972972972973,405.93243243243245,95.74864864864865,164.0,146.0,291.0,1207.0,193.0,334.0,369.0,408.0
troon,2003-2007,70.76540755467197,82.25646123260438,74.47058823529412,81.0079522862823,3.26441351888668,1.3073558648111332,406.7296222664016,95.71371769383698,131.0,157.0,317.0,460.0,233.0,355.0,368.0,410.0
alexandria,before 1919,70.47632058287796,81.59836065573771,55.358024691358025,81.36247723132969,2.980510018214936,1.1249544626593808,298.56284153005464,65.5792349726776,110.0,161.0,347.0,1541.0,218.0,380.0,427.0,470.0
largs,1930-1949,68.77263969171483,79.71483622350674,53.41860465116279,80.52408477842003,3.6710982658959534,1.335645472061657,665.0,95.71676300578035,171.0,191.0,394.0,1607.0,252.0,346.0,285.0,409.0
lockerbie,2008 onwards,60.5013698630137,83.87945205479453,80.65217391304348,80.1041095890411,5.930958904109589,3.265479452054795,1213.8328767123287,208.8986301369863,341.0,307.0,237.0,280.0,273.0,148.0,151.0,204.0
blairgowrie,2003-2007,66.14121037463977,85.79971181556196,72.88235294117646,82.80547550432277,5.359365994236311,2.668731988472622,1112.157060518732,159.52737752161383,308.0,239.0,171.0,509.0,168.0,197.0,165.0,267.0
alford,2003-2007,58.85897435897436,86.18589743589743,66.0,80.98076923076923,8.367307692307692,4.524358974358974,1254.5961538461538,228.1153846153846,428.0,328.0,157.0,862.0,235.0,74.0,145.0,182.0
forfar,1950-1964,68.29245283018868,85.18396226415095,60.701149425287355,82.47169811320755,4.722012578616352,2.220125786163522,767.8443396226415,157.89622641509433,256.0,203.0,193.0,1245.0,177.0,234.0,260.0,270.0
cumnock,2003-2007,68.22299651567944,83.4006968641115,72.64,81.90766550522648,4.170557491289199,1.8554006968641115,524.2839721254355,111.06271777003484,214.0,204.0,257.0,524.0,194.0,280.0,330.0,353.0
forfar,1976-1983,68.29245283018868,85.18396226415095,65.93103448275862,82.47169811320755,4.722012578616352,2.220125786163522,767.8443396226415,157.89622641509433,256.0,203.0,193.0,869.0,177.0,234.0,260.0,270.0
newport-on-tay,1950-1964,61.17557251908397,82.69465648854961,56.833333333333336,79.45801526717557,5.585496183206107,2.853435114503817,995.7022900763359,137.95419847328245,319.0,300.0,297.0,1463.0,298.0,180.0,203.0,306.0
isle of bute,before 1919,64.05865102639297,78.11730205278593,56.872037914691944,76.97653958944281,4.710263929618768,2.0498533724340176,874.5219941348973,77.63049853372434,255.0,266.0,410.0,1460.0,361.0,256.0,235.0,456.0
ardgay,1950-1964,54.96774193548387,84.25806451612904,46.0,78.7741935483871,8.274193548387096,3.8548387096774195,1060.1612903225807,237.29032258064515,425.0,370.0,222.0,1825.0,317.0,117.0,183.0,171.0
elgin,before 1919,67.63874726875456,83.8543335761107,46.34848484848485,81.84268026219956,3.931245447924254,1.897159504734159,598.3350327749454,135.42825928623452,194.0,214.0,240.0,1819.0,196.0,275.0,304.0,312.0
tayport,1992-1998,63.544444444444444,79.9,61.5,77.63333333333334,4.532222222222222,2.0844444444444443,839.2333333333333,106.0,245.0,271.0,390.0,1193.0,347.0,251.0,242.0,377.0
linlithgow,before 1919,71.16071428571429,82.29464285714286,56.0,79.97767857142857,3.418080357142857,1.269419642857143,387.375,105.25446428571429,142.0,145.0,316.0,1510.0,279.0,360.0,388.0,379.0
cumnock,2008 onwards,68.22299651567944,83.4006968641115,75.88888888888889,81.90766550522648,4.170557491289199,1.8554006968641115,524.2839721254355,111.06271777003484,214.0,204.0,257.0,415.0,194.0,280.0,330.0,353.0
forfar,before 1919,68.29245283018868,85.18396226415095,50.18666666666667,82.47169811320755,4.722012578616352,2.220125786163522,767.8443396226415,157.89622641509433,256.0,203.0,193.0,1720.0,177.0,234.0,260.0,270.0
pitlochry,1950-1964,59.908424908424905,88.84981684981685,51.76,83.16483516483517,7.426739926739927,4.017948717948718,1659.989010989011,259.56043956043953,402.0,317.0,113.0,1676.0,154.0,100.0,97.0,148.0
kingseat,others,80.0,90.0,79.0,89.0,2.8,1.1,-12.0,132.0,97.0,77.0,88.0,324.0,85.0,385.0,522.0,317.0
mauchline,1950-1964,62.84403669724771,82.44495412844037,57.689655172413794,79.07798165137615,4.798165137614679,2.2504587155963303,697.2247706422019,145.0183486238532,265.0,280.0,310.0,1415.0,306.0,231.0,273.0,289.0
alexandria,others,70.47632058287796,81.59836065573771,89.36893203883496,81.36247723132969,2.980510018214936,1.1249544626593808,298.56284153005464,65.5792349726776,110.0,161.0,347.0,55.0,218.0,380.0,427.0,470.0
clackmannanshire,others,86.95698924731182,88.11827956989248,88.59139784946237,90.15053763440861,1.2795698924731183,0.16344086021505377,-0.6451612903225806,72.41935483870968,21.0,37.0,122.0,73.0,73.0,460.0,501.0,462.0
tain,2008 onwards,60.77777777777778,85.17241379310344,73.16666666666667,77.91187739463602,6.296551724137931,3.1,1020.080459770115,277.4942528735632,361.0,304.0,194.0,501.0,337.0,159.0,195.0,130.0
isle of lewis,1950-1964,56.335429769392036,90.32285115303984,37.214285714285715,83.22431865828092,6.882599580712788,4.179454926624738,1333.5345911949685,342.2327044025157,381.0,359.0,82.0,1970.0,151.0,94.0,130.0,82.0
east kilbride,others,87.91111111111111,89.63333333333334,89.14772727272727,90.43333333333334,1.6700000000000002,0.27,18.4,105.16666666666667,45.0,31.0,94.0,62.0,70.0,441.0,488.0,381.0
robroyston,others,88.12698412698413,89.60317460317461,89.06451612903226,90.96825396825396,1.4396825396825397,0.24761904761904766,0.8571428571428571,95.33333333333333,32.0,28.0,99.0,63.0,63.0,445.0,495.0,413.0
greenock,others,72.23698069046226,80.42890579286133,90.2421052631579,80.91983616149795,2.8177881802223523,0.9159157401989467,379.9467524868344,82.14979520187244,100.0,121.0,383.0,36.0,240.0,406.0,396.0,446.0
cowdenbeath,others,71.09189189189189,82.76216216216216,86.78125,81.95135135135135,3.5745945945945943,1.432972972972973,405.93243243243245,95.74864864864865,164.0,146.0,291.0,129.0,193.0,334.0,369.0,408.0
ayr,others,67.24707533926065,81.17547964436126,86.55121951219512,79.00701918577445,4.062049602246139,1.713242863827796,543.7454375292466,117.25549836218998,204.0,223.0,360.0,133.0,309.0,295.0,323.0,341.0
denny,others,73.65277777777777,84.33101851851852,86.28318584070796,84.00462962962963,2.8055555555555554,1.1215277777777777,250.16666666666666,83.58333333333333,99.0,109.0,219.0,144.0,137.0,382.0,442.0,442.0
elgin,others,67.63874726875456,83.8543335761107,85.67647058823529,81.84268026219956,3.931245447924254,1.897159504734159,598.3350327749454,135.42825928623452,194.0,214.0,240.0,162.0,196.0,275.0,304.0,312.0
larkhall,1992-1998,71.1972972972973,84.22567567567567,66.61290322580645,82.64189189189189,3.402702702702703,1.4156756756756756,399.43783783783783,126.27972972972972,141.0,144.0,224.0,827.0,173.0,336.0,374.0,328.0
carluke,others,70.3740340030912,83.97527047913447,89.0548780487805,82.41421947449768,4.0112828438949,1.6350850077279755,567.4636785162287,146.85625965996908,201.0,164.0,234.0,64.0,178.0,307.0,314.0,288.0
coatbridge,1930-1949,73.087890625,82.341796875,64.11764705882354,81.642578125,2.8427734375,0.9792968750000001,299.1875,84.88671875,102.0,112.0,314.0,1005.0,203.0,397.0,424.0,438.0
keith,1992-1998,62.61377245508982,85.06586826347305,65.625,82.11676646706587,5.310179640718562,2.752694610778443,923.8832335329341,143.9550898203593,307.0,286.0,196.0,889.0,186.0,186.0,224.0,292.0
ardrossan,2003-2007,67.52659574468085,81.24468085106383,78.33333333333333,79.06382978723404,3.814893617021277,1.6175531914893617,499.00531914893617,80.12234042553192,181.0,217.0,357.0,339.0,307.0,312.0,339.0,451.0
grangemouth,2008 onwards,68.35920577617328,79.03610108303249,80.66666666666667,77.74007220216606,3.18014440433213,1.1137184115523466,389.7563176895307,88.7653429602888,125.0,201.0,405.0,279.0,344.0,384.0,386.0,428.0
galashiels,1992-1998,67.57430340557275,80.1842105263158,68.77272727272727,78.6439628482972,3.954489164086687,1.545201238390093,664.0820433436533,101.45201238390094,196.0,215.0,385.0,695.0,319.0,318.0,286.0,392.0
lanark,others,64.52072072072072,82.41081081081082,82.6268656716418,78.87567567567568,5.174504504504505,2.2018918918918917,731.7945945945946,203.57567567567568,295.0,259.0,311.0,236.0,314.0,237.0,268.0,209.0
bridge of weir,before 1919,65.23577235772358,80.6178861788618,55.19230769230769,78.45528455284553,5.071544715447154,2.1325203252032523,778.0,90.7560975609756,285.0,249.0,377.0,1549.0,325.0,245.0,254.0,423.0
lockerbie,before 1919,60.5013698630137,83.87945205479453,41.36363636363637,80.1041095890411,5.930958904109589,3.265479452054795,1213.8328767123287,208.8986301369863,341.0,307.0,237.0,1906.0,273.0,148.0,151.0,204.0
invergordon,2008 onwards,60.157534246575345,83.52739726027397,80.0,78.46575342465754,5.8568493150684935,2.7424657534246575,975.8630136986301,218.07534246575344,334.0,311.0,253.0,296.0,323.0,187.0,208.0,196.0
annan,others,67.08108108108108,84.22972972972973,90.49350649350649,81.72972972972973,3.8713963963963964,1.9065315315315314,521.6891891891892,156.5608108108108,186.0,224.0,223.0,29.0,198.0,273.0,332.0,271.0
achnasheen,others,52.6,88.55,72.7,81.35,8.8025,4.88,1417.8,339.975,443.0,386.0,117.0,520.0,220.0,65.0,123.0,85.0
lanark,1930-1949,64.52072072072072,82.41081081081082,55.833333333333336,78.87567567567568,5.174504504504505,2.2018918918918917,731.7945945945946,203.57567567567568,295.0,259.0,311.0,1518.0,314.0,237.0,268.0,209.0
shotts,1999-2002,70.56907216494845,82.38969072164949,67.0,81.26804123711341,3.627422680412371,1.3362886597938144,403.91752577319585,89.36288659793814,169.0,159.0,312.0,801.0,222.0,345.0,371.0,426.0
cumnock,1965-1975,68.22299651567944,83.4006968641115,61.234375,81.90766550522648,4.170557491289199,1.8554006968641115,524.2839721254355,111.06271777003484,214.0,204.0,257.0,1215.0,194.0,280.0,330.0,353.0
kelso,2008 onwards,65.44864864864864,83.29729729729729,78.42857142857143,80.3,4.613513513513514,2.2562162162162163,784.8324324324325,161.44864864864866,250.0,245.0,263.0,338.0,266.0,228.0,251.0,264.0
larkhall,1976-1983,71.1972972972973,84.22567567567567,59.42857142857143,82.64189189189189,3.402702702702703,1.4156756756756756,399.43783783783783,126.27972972972972,141.0,144.0,224.0,1322.0,173.0,336.0,374.0,328.0
kelso,2003-2007,65.44864864864864,83.29729729729729,73.72222222222223,80.3,4.613513513513514,2.2562162162162163,784.8324324324325,161.44864864864866,250.0,245.0,263.0,482.0,266.0,228.0,251.0,264.0
kinross,1984-1991,69.14655172413794,84.77011494252874,60.44,83.15229885057471,4.879885057471265,2.132758620689655,704.0431034482758,178.31896551724137,273.0,185.0,207.0,1259.0,156.0,244.0,272.0,244.0
livingston,1950-1964,74.75754422476587,85.21956295525494,66.03571428571429,84.02601456815817,3.0037460978147763,1.1309053069719042,258.4105098855359,118.3720083246618,112.0,99.0,192.0,860.0,136.0,379.0,437.0,340.0
peebles,1965-1975,69.50656167979002,81.91076115485565,59.54545454545455,80.0,4.754330708661418,1.8244094488188978,653.2283464566929,107.33858267716535,260.0,178.0,331.0,1314.0,277.0,285.0,288.0,369.0
cairndow,1965-1975,46.09836065573771,81.45901639344262,39.2,73.75409836065573,8.545901639344262,4.324590163934427,2158.622950819672,466.37704918032784,434.0,418.0,353.0,1946.0,394.0,88.0,54.0,32.0
musselburgh,1984-1991,72.0925925925926,83.01559454191033,65.34722222222223,82.00584795321637,3.010818713450292,1.2196881091617935,387.9327485380117,106.34210526315789,113.0,123.0,281.0,915.0,191.0,369.0,387.0,375.0
huntly,before 1919,63.00997506234414,85.86783042394015,41.84,81.42892768079801,5.866583541147132,3.1139650872817954,1107.224438902743,181.4438902743142,335.0,278.0,168.0,1899.0,214.0,157.0,167.0,240.0
broxburn,before 1919,71.71955128205128,83.20192307692308,49.89655172413793,82.10897435897436,3.1993589743589745,1.3112179487179487,358.77403846153845,107.4423076923077,126.0,132.0,270.0,1728.0,187.0,354.0,404.0,368.0
turriff,1965-1975,64.3152709359606,88.00246305418719,62.38461538461539,81.6256157635468,5.82832512315271,3.1549261083743843,1092.2586206896551,208.8768472906404,330.0,263.0,124.0,1133.0,204.0,153.0,172.0,205.0
hamilton,1999-2002,71.0235588972431,82.06165413533834,75.5327868852459,80.47418546365915,3.3600501253132835,1.2010025062656642,392.74436090225566,114.28270676691729,138.0,149.0,327.0,426.0,255.0,372.0,381.0,347.0
livingston,1976-1983,74.75754422476587,85.21956295525494,68.47804878048781,84.02601456815817,3.0037460978147763,1.1309053069719042,258.4105098855359,118.3720083246618,112.0,99.0,192.0,716.0,136.0,379.0,437.0,340.0
ellon,2003-2007,66.77190876350541,86.77671068427371,68.58974358974359,82.01680672268908,4.7877551020408164,2.370228091236495,705.0072028811525,193.12004801920767,263.0,228.0,143.0,708.0,190.0,217.0,270.0,221.0
anstruther,1950-1964,62.78339350180505,82.47292418772564,57.791666666666664,79.18772563176896,5.108664259927798,2.575090252707581,1102.9386281588447,182.1768953068592,289.0,283.0,308.0,1408.0,302.0,205.0,169.0,239.0
dunfermline,1919-1929,70.96047824642976,83.06941215543009,62.59090909090909,82.09664563268018,3.4219860511457987,1.3712055795416804,384.11756891398204,110.26270342079043,145.0,151.0,275.0,1121.0,188.0,341.0,392.0,354.0
kirkcaldy,1984-1991,69.32845070422535,81.34591549295774,69.82608695652173,80.37802816901409,3.562140845070423,1.420394366197183,476.81239436619717,95.20225352112676,162.0,181.0,355.0,644.0,259.0,335.0,346.0,414.0
melrose,1950-1964,64.26279863481228,82.8566552901024,59.26,80.31058020477816,5.84061433447099,2.9017064846416383,1102.1672354948805,153.07167235494882,332.0,264.0,288.0,1336.0,265.0,173.0,170.0,278.0
denny,1984-1991,73.65277777777777,84.33101851851852,70.42857142857143,84.00462962962963,2.8055555555555554,1.1215277777777777,250.16666666666666,83.58333333333333,99.0,109.0,219.0,618.0,137.0,382.0,442.0,442.0
aberlour,before 1919,61.96449704142012,86.5680473372781,42.52272727272727,81.72781065088758,5.966272189349112,3.2201183431952667,948.4792899408284,193.4023668639053,343.0,291.0,147.0,1887.0,199.0,151.0,217.0,220.0
auchterarder,1950-1964,71.28181818181818,83.73939393939393,65.0625,81.11818181818182,4.467575757575758,1.6484848484848484,523.0,132.12727272727273,241.0,142.0,247.0,937.0,229.0,305.0,331.0,316.0
grangemouth,1950-1964,68.35920577617328,79.03610108303249,66.15577889447236,77.74007220216606,3.18014440433213,1.1137184115523466,389.7563176895307,88.7653429602888,125.0,201.0,405.0,853.0,344.0,384.0,386.0,428.0
elgin,2008 onwards,67.63874726875456,83.8543335761107,78.75862068965517,81.84268026219956,3.931245447924254,1.897159504734159,598.3350327749454,135.42825928623452,194.0,214.0,240.0,329.0,196.0,275.0,304.0,312.0
crieff,1992-1998,64.70697674418605,83.23720930232558,66.23076923076923,79.19534883720931,5.446976744186046,2.4806976744186047,989.1348837209302,159.42558139534884,312.0,255.0,269.0,846.0,301.0,210.0,205.0,268.0
kilmarnock,before 1919,69.82577458464301,83.0202065559048,53.1015037593985,81.7031881454872,3.59344409519533,1.5620116748989672,405.2653794342164,101.19847328244275,167.0,173.0,280.0,1624.0,201.0,315.0,370.0,395.0
westhill,1930-1949,69.1590909090909,85.23106060606061,53.75,82.74242424242425,4.830681818181818,2.150378787878788,535.6022727272727,164.20454545454547,269.0,184.0,191.0,1594.0,172.0,241.0,326.0,260.0
bo'ness,1950-1964,67.8800959232614,81.22062350119904,61.753246753246756,79.78896882494004,3.4215827338129494,1.466187050359712,472.41726618705036,102.62589928057554,144.0,208.0,359.0,1175.0,283.0,326.0,348.0,389.0
stonehaven,2008 onwards,72.04525547445256,84.89489051094891,79.66666666666667,83.62043795620438,3.8173722627737225,1.6213138686131385,425.3430656934307,119.42189781021898,182.0,125.0,200.0,302.0,141.0,310.0,361.0,338.0
mauchline,1965-1975,62.84403669724771,82.44495412844037,59.45,79.07798165137615,4.798165137614679,2.2504587155963303,697.2247706422019,145.0183486238532,265.0,280.0,310.0,1318.0,306.0,231.0,273.0,289.0
montrose,1930-1949,64.60932944606414,82.55685131195335,55.42307692307692,78.83236151603498,4.83731778425656,2.2690962099125365,841.9416909620991,185.06851311953352,271.0,257.0,304.0,1538.0,316.0,227.0,241.0,234.0
gourock,before 1919,66.62538699690403,78.78328173374614,63.24,77.3467492260062,3.444582043343653,1.306811145510836,519.1671826625387,98.6749226006192,149.0,230.0,407.0,1073.0,353.0,356.0,334.0,402.0
blairgowrie,1965-1975,66.14121037463977,85.79971181556196,56.91489361702128,82.80547550432277,5.359365994236311,2.668731988472622,1112.157060518732,159.52737752161383,308.0,239.0,171.0,1456.0,168.0,197.0,165.0,267.0
hawick,before 1919,63.26720647773279,79.54048582995951,55.59134615384615,77.13562753036437,5.115384615384615,2.2977732793522265,938.7267206477733,106.47570850202429,291.0,273.0,396.0,1529.0,358.0,225.0,219.0,373.0
kirriemuir,1976-1983,62.688235294117646,86.00588235294117,65.76923076923077,82.28823529411764,6.057058823529412,3.357647058823529,1108.8529411764705,188.36470588235295,349.0,285.0,164.0,881.0,183.0,140.0,166.0,230.0
banff,1930-1949,64.37677725118483,86.44312796208531,61.2,83.53554502369668,5.18436018957346,2.890758293838863,1082.6232227488151,189.04265402843603,297.0,261.0,150.0,1217.0,143.0,176.0,176.0,228.0
anstruther,before 1919,62.78339350180505,82.47292418772564,49.23076923076923,79.18772563176896,5.108664259927798,2.575090252707581,1102.9386281588447,182.1768953068592,289.0,283.0,308.0,1747.0,302.0,205.0,169.0,239.0
maybole,1965-1975,63.76975945017182,82.38487972508591,59.7037037037037,80.26460481099656,4.585567010309279,2.252233676975945,803.1958762886597,182.68041237113403,248.0,270.0,313.0,1308.0,268.0,229.0,248.0,237.0
bonnyrigg,before 1919,72.07837837837837,83.7945945945946,56.333333333333336,83.1,3.0475675675675675,1.2651351351351352,275.35945945945946,106.85675675675675,115.0,124.0,243.0,1496.0,158.0,361.0,433.0,370.0
airdrie,1976-1983,69.6901822457378,81.09406231628454,69.6842105263158,80.09876543209876,3.5296296296296292,1.261081716637272,377.78483245149914,91.50617283950618,158.0,176.0,364.0,651.0,274.0,362.0,397.0,422.0
shotts,2003-2007,70.56907216494845,82.38969072164949,77.23529411764706,81.26804123711341,3.627422680412371,1.3362886597938144,403.91752577319585,89.36288659793814,169.0,159.0,312.0,375.0,222.0,345.0,371.0,426.0
kelso,1965-1975,65.44864864864864,83.29729729729729,65.37837837837837,80.3,4.613513513513514,2.2562162162162163,784.8324324324325,161.44864864864866,250.0,245.0,263.0,911.0,266.0,228.0,251.0,264.0
irvine,1930-1949,71.30209481808159,84.32635060639471,64.53658536585365,83.17309812568908,3.111797133406836,1.3995589856670343,299.0606394707828,107.55678059536935,119.0,139.0,221.0,973.0,153.0,340.0,425.0,366.0
tarbert,before 1919,52.92307692307692,83.29230769230769,36.078947368421055,78.16153846153846,9.69076923076923,6.642307692307693,2293.5461538461536,340.66153846153844,472.0,384.0,265.0,1987.0,330.0,26.0,43.0,84.0
irvine,1984-1991,71.30209481808159,84.32635060639471,69.42424242424242,83.17309812568908,3.111797133406836,1.3995589856670343,299.0606394707828,107.55678059536935,119.0,139.0,221.0,661.0,153.0,340.0,425.0,366.0
aberlour,1976-1983,61.96449704142012,86.5680473372781,57.0,81.72781065088758,5.966272189349112,3.2201183431952667,948.4792899408284,193.4023668639053,343.0,291.0,147.0,1451.0,199.0,151.0,217.0,220.0
arbroath,1965-1975,68.385,83.269,62.704280155642024,80.936,3.9133,1.7727,593.442,141.363,193.0,199.0,268.0,1114.0,238.0,290.0,306.0,298.0
